word,n
harry's house,2500
harry styles,2007
leak,1499
songs,1359
fine line,1078
listen,969
album,827
gonna,624
month,506
medicine,493
anna,450
wait,447
1d,393
tour,359
coachella,343
love,325
night,323
release,312
days,311
home,310
talking,297
boyfriends,288
merch,268
late,264
walked,233
run,229
people,224
time,201
hear,179
track,178
mes,177
era,175
para,171
studio,169
literally,168
till,164
box,163
day,160
feel,159
hs1,158
heard,150
excited,142
set,140
vinyl,139
fucking,136
louis,133
y'all,131
fuck,129
coming,128
version,125
youarehome,125
de,120
called,117
apparently,115
cd,115
hard,114
