"word","n"
"house",10114
"harry’s",6447
"harry's",3256
"harry",1436
"leaked",936
"songs",845
"album",827
"i’m",675
"gonna",624
"fine",539
"line",539
"it’s",523
"song",514
"listen",509
"month",506
"medicine",493
"anna",450
"wait",447
"1d",393
"don’t",376
"tour",359
"coachella",343
"listening",342
"love",325
"night",323
"days",311
"home",310
"talking",297
"leaks",293
"boyfriends",288
"3",284
"leak",270
"im",268
"merch",268
"styles",265
"late",264
"walked",233
"amp",232
"run",229
"people",224
"1",202
"time",201
"harry_styles",192
"hear",179
"release",178
"track",178
"mes",177
"bc",175
"era",175
"para",171
"20th",169
"can’t",169
"studio",169
"literally",168
"till",164
"box",163
"day",160
"feel",159
"hs1",158
"heard",150
"2",147
"excited",142
"set",140
"he’s",139
"vinyl",139
"fucking",136
"released",134
"louis",133
"y’all",131
"fuck",129
"coming",128
"version",125
"youarehome",125
"de",120
"listened",118
"called",117
"apparently",115
"cd",115
"hard",114
"harrystyles",114
"that’s",114
