word,n
buck,427
eddie,419
love,304
gayfirefightershow,258
mom,226
karen,217
crying,198
henren,197
hen,196
bobby,183
maddie,153
kids,134
girls,118
sad,100
cute,99
time,97
buckley,77
life,72
athena,70
stop,70
911,69
lucy,69
happy,68
omg,68
wedding,67
god,62
heart,62
live,61
siblings,61
madney,58
song,57
damn,55
raised,54
fomo,51
besties,50
day,50
lol,49
jee,48
groom,47
bad,46
catch,46
call,45
chimney,45
crypto,45
die,45
fuck,45
tears,45
baby,43
purse,42
thief,42
captain,41
hate,41
talking,40
wait,38
influencer,37
