word,n
buck,1078
eddie,876
maddie,407
taylor,350
gayfirefightershow,319
love,259
spiders,220
broke,213
lucy,176
bobby,154
chris,153
feel,151
chimney,148
god,138
time,135
break,133
fuck,207
madney,131
hen,130
breakdown,120
ravi,112
buddie,106
omg,104
albert,97
bad,97
hell,91
shit,91
talk,90
hate,89
911,84
buckley,83
bt,81
damn,80
fear,80
afraid,79
christopher,79
hug,77
baby,76
heart,76
wait,74
woman,73
therapy,71
finally,69
nope,69
call,67
happy,67
literally,67
minutes,67
people,67
reunion,66
breaking,64
athena,63
called,63
live,62
care,61
missed,61
siblings,61
kissed,60
uncle,59
spider,58
jee,57
move,55
screen,54
feeling,53
girl,53
crying,52
guy,52
