"word","n"
"eddie",749
"buck",718
"gayfirefightershow",369
"lucy",296
"chris",282
"love",240
"family",194
"maddie",194
"scene",182
"buddie",174
"bobby",171
"sign",167
"hen",148
"stop",146
"i’m",142
"time",137
"christopher",126
"diaz",123
"athena",120
"jee",120
"heart",114
"911",96
"school",95
"taylor",92
"chimney",91
"buckley",90
"jonah",83
"dumb",82
"happy",81
"sad",81
"god",77
"it’s",76
"season",73
"amp",72
"don’t",72
"luck",71
"madney",69
"therapy",69
"he’s",67
"omg",66
"cute",65
"dad",65
"people",62
"baby",61
"care",61
"karen",60
"fuck",59
"literally",59
"saved",59
"night",58
"that’s",57
"118",54
"bathena",54
"feel",54
"watching",54
"crying",53
"coming",51
"nightmare",51
"save",51
"catch",50
"day",50
"drawing",49
"son",49
"real",48
"damn",47
"missed",47
"bad",46
"car",46
"live",46
"read",45
"taking",45
"balcony",44
"drama",44
"guy",44
"shit",44
"watch",44
"life",43
"woman",43
"lady",42
"scenes",42
"talking",42
"wrong",42
