"word","n"
"heartstopper",11270
"2",1404
"episode",1256
"netflix",1006
"crush",972
"nick",961
"love",950
"frame",937
"1678",930
"charlie",829
"joelocke03",749
"aliceoseman",736
"2022",727
"kit_connor",694
"watching",599
"renewheartstopper",575
"i’m",497
"season",484
"watched",468
"heartstopperfanart",418
"time",408
"kitconnor",380
"watch",370
"it’s",355
"series",345
"nicknelson",343
"3",293
"charliespring",279
"people",269
"gay",268
"cute",259
"kit",256
"finished",254
"joelocke",254
"heart",246
"feel",232
"nelson",228
"beautiful",212
"life",212
"nickandcharlie",211
"read",206
"joe",201
"happy",199
"queer",192
"s01",191
"story",191
"tvtime",191
"cast",189
"lgbtq",181
"amazing",177
"scene",177
"books",170
"day",169
"connor",159
"i’ve",159
"netflixuk",158
"1",157
"can’t",157
"hope",151
"finally",146
"lt",145
"don’t",141
"tv",140
"loved",137
"4",135
"literally",135
"stop",135
"times",132
"spring",130
"im",129
"obsessed",126
"book",122
"tao",122
"locke",115
"sebastiancroft",114
"crying",112
"reading",110
"art",108
"favorite",108
"makes",107
"moment",107
"week",107
